pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_age,st_spectype,disc_year
Kepler-412 b,Kepler-412,15.031269,299.07803,0.02897,0.0038,1850.0,2144.307,5750.0,1.287,1.167,5.37,G3 V,2014.0
TOI-2158 b,TOI-2158,10.76062147,260.61929374,0.075,0.07,1188.0,81.4989,5673.0,1.41,1.12,8.0,,2022.0
Kepler-651 b,Kepler-651,2.37,6.21,0.14078,0.0,574.0,27.223,5522.0,0.87,0.92,3.55,,2016.0
HD 151450 b,HD 151450,6.94,38.45723725,0.16,0.496,795.0,66.5618,6091.98,1.17184,1.14,,,2022.0
HD 134987 b,HD 134987,13.5,511.7063,0.81,0.23,339.45,2.7435,5736.0,1.22,1.1,8.4,G5 V,1999.0
CoRoT-8 b,CoRoT-8,6.39,69.92,0.063,0.0,870.0,100.3041,5080.0,0.77,0.88,3.0,K1 V,2010.0
K2-411 b,K2-411,0.9898,0.937,0.0511,,1428.52,619.038,5711.0,1.375,1.018,,,2022.0
TOI-6281 b,TOI-6281,1.92416074,4.36,,,2240.0,4181.02,4533.23,0.874219,0.65,,,2026.0
HD 3167 e,HD 3167,2.83,8.41,0.3885,0.15,374.8,3.5579,5261.0,0.88,0.837,7.8,K0 V,2022.0
Kepler-1381 b,Kepler-1381,2.25,5.69,0.1728,0.0,649.0,29.701,5747.0,0.94,0.96,4.07,,2016.0
Kepler-1325 b,Kepler-1325,2.86,8.55,0.2004,0.0,564.0,18.153,5550.0,0.91,0.93,4.79,,2016.0
COCONUTS-2 b,COCONUTS-2 A,12.57647635,2383.7130525,7506.0,,493.0,0.0,3552.0,0.366,0.4,0.414,M3 V,2021.0
Kepler-703 b,Kepler-703,8.2,51.1,0.0535,0.0,1038.0,373.108,6185.0,1.27,1.18,2.69,,2016.0
Kepler-616 c,Kepler-616,3.41,11.5,0.4024,0.0,413.0,6.86,5753.0,0.97,0.98,3.89,,2016.0
TOI-1408 b,TOI-1408,25.0,593.0,0.05778,0.0023,1293.0,465.179,6117.0,1.53,1.312,2.7,F8 V,2023.0
HAT-P-32 b,HAT-P-32,22.19382,216.1244,0.03397,0.159,1835.7,1841.0,6001.0,1.367,1.132,2.7,,2011.0
OGLE-2006-BLG-284L A b,OGLE-2006-BLG-284L A,14.3,144.0,2.17,,,,,,0.35,,,2020.0
TOI-5502 b,TOI-5502,4.1287378,15.9,,,870.0,95.1955,6088.71,1.32375,1.244,,,2026.0
HIP 91258 b,HIP 91258,13.7,346.4347,0.06,0.02,1024.97,166.6086,5519.0,0.89,0.97,2.4,G5 V,2013.0
CD Cet b,CD Cet,1.82,3.95,0.0185,,464.0,8.6,3130.0,0.175,0.161,3.0,M5.0 V,2020.0
K2-22 b,K2-22,2.3,444.962,0.009,0.19,2100.0,114.0,3879.0,0.58,0.595292,,M0 V,2015.0
Kepler-1322 b,Kepler-1322,1.61,3.22,0.0183,0.0,1666.0,2651.424,5488.0,0.87,0.9,4.47,,2016.0
HAT-P-16 b,HAT-P-16,14.68376472,1341.56043,0.0413,0.0462,1566.0,1597.59,6140.0,1.158,1.218,0.5,F8,2010.0
Kepler-1999 b,Kepler-1999,3.29,10.8,0.0713,0.0,577.0,26.17,4406.0,0.628,0.632,,,2023.0
Kepler-1285 b,Kepler-1285,0.97,0.871,0.12758,0.0,874.0,181.591,6170.0,1.28,1.2,2.75,,2016.0
TOI-3688 A b,TOI-3688 A,13.08088048,311.47183886,0.0456,0.0,1534.0,924.3,5950.0,1.302,1.199,3.3,,2023.0
HD 5278 c,HD 5278,4.49,18.4,0.2416,0.07,664.95,32.6706,6203.0,1.194,1.126,3.0,F V,2021.0
Kepler-1592 b,Kepler-1592,1.54,2.99,0.04,0.0,1202.0,1918.34,6213.0,1.28,1.18,2.69,,2016.0
Kepler-305 b,Kepler-305,3.6,10.5,0.05746,0.005,836.0,112.914,5080.0,0.8,0.76,4.37,,2013.0
GJ 536 b,GJ 536,2.41,6.37,0.0668,0.0,451.0,9.9,3641.0,0.529,0.528,4.2,M1 V,2016.0
Kepler-361 c,Kepler-361,2.52,6.9,0.3,0.0,568.0,33.948,6169.0,1.343,1.191,3.89,,2014.0
Kepler-1778 b,Kepler-1778,3.01665969,9.36,0.0956,0.0,942.0,186.14,6310.0,1.095,1.143,0.3,,2021.0
Kepler-1005 b,Kepler-1005,1.5,2.86,0.06717,0.0,1026.0,301.329,5782.0,1.06,1.0,6.17,,2016.0
Kepler-346 b,Kepler-346,2.66,7.56,0.071,0.0,1008.0,134.357,6033.0,1.021,0.943,2.4,,2014.0
TOI-5728 b,TOI-5728,1.31,2.27,,,382.0,3.512,3419.0,0.37,0.36,,,2025.0
Kepler-421 b,Kepler-421,4.16,16.1,1.219,0.041,185.0,0.2,5308.0,0.757,0.794,4.0,G9/K0,2014.0
Kepler-688 b,Kepler-688,9.76,68.7,0.046,0.0,1005.0,458.912,5715.0,0.96,0.98,4.27,,2016.0
Kepler-123 c,Kepler-123,1.48,2.79,0.181,0.0,706.0,77.399,6089.0,1.264,1.079,5.01,,2014.0
Kepler-614 b,Kepler-614,2.39,6.3,0.1027,0.0,641.0,37.2,5268.0,0.81,0.85,4.79,,2016.0
